Deal Name,FLY Allocation
Nom Wah Nolita,"1,000,000"
Nom Wah Pier 57,Hospitality Group
gertrude's Prospect Heights,"250,000"
Tia Pol Chelsea,"250,000"
Upside Nolita,"250,000"
Fairfax West Village,"250,000"
The Fragile Flour,"250,000"
Crif Dogs East Village,"250,000"
Please Don't Tell East Village,"250,000"
Anton's West Village,"250,000"
Crown Shy Financial District,"250,000"
Porta Montclair,"250,000"
Overstory Overstory,"250,000"
Razza Jersey City,"200,000"
Nami Nori Williamsburg,"250,000"
Nami Nori West Village,"250,000"
Tigre Lower East Side,"250,000"
Nami Nori Montclair,"250,000"
Ensenada Williamsburg,"250,000"
The Bakery at Greywind Hudson Yards,"250,000"
Madame Vo East Village,0
Hoseki Midtown,0
Lighthouse Williamsburg,0
Falansai Bushwick,0
Hanoi House East Village,0
Little Jack's Tavern Downtown Charleston,"250,000"
Melfi's Downtown Charleston,"250,000"
Momofuku (Noodle Bar) Regulars,"250,000"
Leon's Oyster Shop Downtown Charleston,"250,000"
Banzarbar Nolita,"250,000"
"Jon & Vinny’s (Beverly Hills) Paid, Regulars","800,000"
Fish Cheeks Noho,"250,000"
Konro Konro,"250,000"
Andros Taverna North Side,"250,000"
Asador Bastian River North,"250,000"
Greenpoint Fish & Lobster Greenpoint,"250,000"
Emmett's SoHo,"250,000"
Emmett's West Village,"250,000"
IRIS,"250,000"
Il Buco Alimentari & Vineria NoHo,"250,000"
F&F Pizzeria Carroll Gardens,"250,000"
Parcelle Chinatown,"250,000"
Raku East Village Regulars,"500,000"
Eterea,"250,000"
Claro Gowanus,"250,000"
Kwei Fei Riverland Terrace,"250,000"
KYU Noho,"250,000"
Empellón Taqueria & Bar Greenwich Village,"250,000"
Empellon Taqueria Waterline Square,"250,000"
Avant Garden Bistro,"250,000"
Claudette,"1,000,000"
Beautiful South Cannonborough,"250,000"
GupShup Gramercy,"250,000"
Virginia's East Village,"250,000"
Llama Inn Williamsburg,"250,000"
Llama San Llama San,"250,000"
Little Prince South Village,"250,000"
Lola Taverna South Village,"250,000"
Ramen By Ra Bowery,"250,000"
Farm to People Kitchen & Bar Bushwick,"250,000"
Panzón Greenpoint,"250,000"
Jon & Vinny's Brentwood,Hospitality Group
Osito - New Deal,"500,000"
Barbuto West Village,"250,000"
St. Tropez West Village,"250,000"
Mino Brasserie West Village,"250,000"
Sweet Rose Creamery Brentwood Country Mart,"250,000"
Gelso & Grand Gelso & Grand,"250,000"
Swan Room,"250,000"
Ambra West Village,"250,000"
Jajaja Mexicana West Village,"250,000"
Insa Gowanus,"250,000"
White Horse Tavern West Village,"250,000"
Jajaja Mexicana Hudson Yards,"250,000"
Jajaja Mexicana Williamsburg,"250,000"
Jajaja Mexicana LES,"250,000"
Made in New York Pizza West Village Punchcard,"250,000"
Made in New York Pizza UWS 271 Punchcard,"250,000"
Made in New York Pizza UWS 421 Punchcard,"250,000"
Made in New York Pizza Midtown Punchcard,"250,000"
Softside Soho,"250,000"
Rosemary's West Village,Hospitality Group
Rosemary's Stuytown,Hospitality Group
Souvla Hayes Valley,Contract not found
The Daily (Trabert Ave) Regulars,"250,000"
The Daily Inman Park,"250,000"
Cadence,"250,000"
The Daily Buckhead,"250,000"
Porta Jersey City,"250,000"
The Palm Court at The Plaza Hotel Midtown,"250,000"
Sra. Martinez Coral Gables,"1,000,000"
Mishik Hudson Square,"1,000,000"
Romeos East Village,"500,000"
"LIMONÉ MEDITERRANEAN Paid, Punchcard","1,000,000"
"LUMPIA MANIA Paid, Punchcard",Hospitality Group
"BRY'S BAGELS Paid, Punchcard",Hospitality Group
Altro Paradiso,"250,000"
Unregular Bakery Punchcard,Hospitality Group
"THE TACO MAN Paid, Punchcard",Hospitality Group
Greenpoint Fish & Lobster at The Hugh Midtown,"250,000"
"CREPES & SHAKES LA, Paid, Punchcard",Hospitality Group
"PENNY COFFEE ROASTER Paid, Punchcard",Hospitality Group
Unregular Pizza Midtown,"1,000,000"
"BOBA BREAK TEA HOUSE Paid, Punchcard",Hospitality Group
Unregular Pizza Lower East Side,"1,000,000"
Unregular Bakery Union Square,"1,000,000"
"SMOG CITY BREWING Paid, Punchcard",Hospitality Group
"BUSHI BY JINYA Paid, Punchcard",Hospitality Group
"DOG HAUS Paid, Punchcard",Hospitality Group
"THE GOLDEN EATERY Paid, Punchcard",Hospitality Group
Local 42 Hell's Kitchen,"1,000,000"
Zillions Pizza Hell's Kitchen,"1,000,000"
Lovely's Old Fashioned Hell's Kitchen,"1,000,000"
Steak Frites Bistro Hell's Kitchen,"1,000,000"
Davey's Ice Cream Moynihan Train Hall,"500,000"
Davey's Ice Cream East Village,"500,000"
Davey's Ice Cream Greenpoint,"500,000"
Albert's Bar Murray Hill,"500,000"
Uncork Wraggborough,"500,000"
Spring Cafe Aspen Greenwich Village,"500,000"
Crave Fishbar Upper West Side,"500,000"
Crave Fishbar Midtown,"500,000"
Cappone's West Village,"500,000"
Amor y Amargo,"250,000"
Pascal And Sabine,"250,000"
Libertine Libertine,"250,000"
Homesick,"250,000"
Santa Panza,"250,000"
Alidoro The Hugh,"500,000"
Alidoro Bryant Park,"500,000"
Alidoro Midtown,"500,000"
Alidoro Rockefeller Center,"500,000"
Raku Soho Regulars,"500,000"
