deal_name,restaurant_name,location_name,match_confidence,restaurant_id,restaurant_group_id,restaurant_group_name,fly_allocation
Nom Wah Nolita,Nom Wah,Nolita,100.0%,43152d4b-e189-4bdf-ad5f-c9243e14b85d,87c766f4-c157-4850-8b24-34f834ca0e06,Nom Wah,"1,000,000"
gertrude's Prospect Heights,gertrude's,Prospect Heights,94.1%,990808af-9549-4fec-adda-eb91ba9cecc4,e0b5d0cb-f61b-44e1-b82e-f56f716a7fbc,Gertrude's,"250,000"
Tia Pol Chelsea,Tia Pol,Chelsea,100.0%,ef5c94c4-1622-4d83-8fe0-09cbccfcf3ed,04cbebdf-5d79-45bf-a86e-8501c8f331db,Tia Pol,"250,000"
Upside Nolita,Upside,Nolita,100.0%,9d51d220-a4fd-44c7-a183-138e0d20e00c,83195eeb-f5c9-4cca-93b7-5e7c44ef24a2,Upside,"250,000"
Fairfax West Village,Criollas West Village,West Village,93.3%,ff22710d-c7ce-4fea-8aca-5301f23b20f9,c0a7f98b-d21e-49b6-b627-1c26939729ef,Criollas Baked Empanadas,"250,000"
The Fragile Flour,Frannie & The Fox,Downtown,66.7%,cf0dda93-b7a8-4c17-bf12-bea8f8c9bd41,3b3b5f97-45a0-451f-bdd4-9c221a041538,Hotel Emeline,"250,000"
Crif Dogs East Village,Criollas West Village,West Village,79.1%,ff22710d-c7ce-4fea-8aca-5301f23b20f9,c0a7f98b-d21e-49b6-b627-1c26939729ef,Criollas Baked Empanadas,"250,000"
Please Don't Tell East Village,Please Don't Tell,East Village,92.3%,3f175455-4796-4da2-be80-ae1028283486,2034c9f8-f71f-489f-937d-206e3718ea82,PDT/Crif Dogs,"250,000"
Anton's West Village,Nowon - East Village,East Village,88.9%,187b348e-cbac-415f-8a3e-22505b38305e,8c8ffae7-7b2e-4679-95f1-7393e05db05b,Nowon,"250,000"
Crown Shy Financial District,Crown Shy,Financial District,88.6%,3d45ee2c-1709-400c-8604-cf6f0cc55302,7c435f30-a2ba-4393-83ee-86aff33a72e1,Saga Hospitality Group,"250,000"
Porta Montclair,Port Sa'id,Hudson Square,66.0%,70c50876-4a28-41d0-9497-65f80f85e35c,911dfde3-a6f0-461c-bc3e-5cc82ff9c0ce,The Good People Group,"250,000"
Overstory Overstory,Overstory,Financial District,99.3%,4b4b34e5-58f2-447c-8811-eeab2f20749c,7c435f30-a2ba-4393-83ee-86aff33a72e1,Saga Hospitality Group,"250,000"
Razza Jersey City,Okaeri Japanese Bistro,Okaeri,56.2%,2724470d-8d98-420b-ac57-d4bc95715e15,646b44f0-6286-46aa-a56c-54e9834f7e12,Okaeri Japanese Bistro,"200,000"
Nami Nori Williamsburg,Veselka Williamsburg,Williamsburg,76.7%,5a02aa66-fc07-4b42-b412-c13515a47316,a5197cd6-00a1-408a-9e6e-a2669e1c6417,Veselka,"250,000"
Nami Nori West Village,Nowon - East Village,East Village,80.0%,187b348e-cbac-415f-8a3e-22505b38305e,8c8ffae7-7b2e-4679-95f1-7393e05db05b,Nowon,"250,000"
Tigre Lower East Side,Nowon - East Village,East Village,61.3%,187b348e-cbac-415f-8a3e-22505b38305e,8c8ffae7-7b2e-4679-95f1-7393e05db05b,Nowon,"250,000"
Nami Nori Montclair,Wabi Nori Hand Roll Bar,Lower East Side,67.1%,00bd6b49-8faf-48d0-8917-54a09c34464b,ae67dcaa-a874-4b4d-b2b8-0d45f6f26592,Wabi Nori Hand Roll Bar,"250,000"
Ensenada Williamsburg,Veselka Williamsburg,Williamsburg,100.0%,5a02aa66-fc07-4b42-b412-c13515a47316,a5197cd6-00a1-408a-9e6e-a2669e1c6417,Veselka,"250,000"
The Bakery at Greywind Hudson Yards,The Bakery at Greywind,Hudson Yards,93.5%,b879e26a-9df1-4ba6-ad85-50ea040628e6,581afa6a-d5c5-406a-84b9-6e331b13d461,The Bakery at Greywind,"250,000"
Madame Vo East Village,Nowon - East Village,East Village,90.0%,187b348e-cbac-415f-8a3e-22505b38305e,8c8ffae7-7b2e-4679-95f1-7393e05db05b,Nowon,0
Hoseki Midtown,Hoseki,Midtown,90.0%,e31a4b1a-c388-4c99-b249-2d4cbf96a582,f353c94a-c4fb-4eb9-bb53-edc46de8a985,Hoseki,0
Lighthouse Williamsburg,Lighthouse,Williamsburg,100.0%,eed9ccdf-9cf7-4f44-bb66-1d02eaabe570,086c8b9d-0969-49cf-a82a-5b0e9affdd03,Lighthouse,0
Falansai Bushwick,Falansai,Bushwick,100.0%,5c9b968a-9e81-4d8f-83a8-3fe6f2b62640,a35eed2b-2208-4ee9-a266-b339949da6ee,Falansai,0
Hanoi House East Village,Hanoi House,East Village,100.0%,61e57bf3-9d9e-4457-8fc8-ee4a4b489c22,e408f689-bea3-4b63-9484-0284f55a32d1,Hanoi House,0
Little Jack's Tavern Downtown Charleston,Little Jack's Tavern,Downtown Charleston,100.0%,793c73aa-2e8c-4607-b7b3-8f90fd1c90ad,03e8295a-6cb4-483b-9c53-ffa2b8ec1ec8,Rerun Restaurants,"250,000"
Melfi's Downtown Charleston,Melfi's,Downtown Charleston,81.2%,f649ca79-f27c-450f-a287-41b0af2b0a30,03e8295a-6cb4-483b-9c53-ffa2b8ec1ec8,Rerun Restaurants,"250,000"
Momofuku (Noodle Bar) Regulars,Momofuku Noodle Bar,Columbus Circle,100.0%,5cb6f568-0368-42c6-8703-5d3311736ec4,0d4c2d41-3a42-4c06-8f32-99694c2cb06a,Momofuku Noodle Bar,"250,000"
Leon's Oyster Shop Downtown Charleston,Leon's Oyster Shop,Downtown Charleston,100.0%,afed496c-fef0-4412-be07-d41184aa3867,03e8295a-6cb4-483b-9c53-ffa2b8ec1ec8,Rerun Restaurants,"250,000"
Banzarbar Nolita,Banzarbar,Nolita,92.0%,322b343c-665e-4fc7-9d5e-7244ec7e97ca,0a061081-19d9-4457-ada4-823b7f4be0ed,Banzarbar / Freemans,"250,000"
"Jon & Vinny’s (Beverly Hills) Paid, Regulars",Spike's Coffees and Teas,The Castro,44.4%,f4d71985-b946-435b-8494-f09da8e1551d,3cd5c8e0-2e2c-4a78-88b4-9f28d8d41aa1,Spike's Coffee & Teas,"800,000"
Fish Cheeks Noho,Fish Cheeks,Noho,100.0%,f3e7dbb0-0b8d-47ca-a724-4d29f83f9dfc,bc8c1316-c4c1-47ea-9607-4c21f79fd668,Fish Cheeks,"250,000"
Konro Konro,Kokomo,Greenpoint,68.8%,31cd84b4-3641-4192-8bb6-9cedc1b3fac6,ee9c19fd-e312-438b-81b4-e6e638f1b3d1,Kokomo,"250,000"
Andros Taverna North Side,Andros Taverna,Logan Square,91.8%,7d952882-e0a2-4be7-ba63-a1cc418d03f1,b8d1188d-8e54-4544-9fae-252d6369e027,Eat Well Hospitality,"250,000"
Asador Bastian River North,Asador Bastian,Asador Bastian,100.0%,c37be2af-1b53-4c87-a9bd-8330bd4c3f82,b8d1188d-8e54-4544-9fae-252d6369e027,Eat Well Hospitality,"250,000"
Greenpoint Fish & Lobster Greenpoint,Popi's Oysterette,Marina,61.0%,0746cff5-6e53-4a93-bda8-cbe4cde51128,626a183b-fbc1-426e-ad7e-592368ed5fe7,Popi's Oysterette,"250,000"
Emmett's SoHo,Emmett's,SoHo,96.2%,b2ed05c0-a3c8-44a4-a594-ce1f180923cc,5cab0c9d-361f-46f5-bebf-436178e92daa,Emmett's,"250,000"
Emmett's West Village,Emmett's,SoHo,95.2%,b2ed05c0-a3c8-44a4-a594-ce1f180923cc,5cab0c9d-361f-46f5-bebf-436178e92daa,Emmett's,"250,000"
IRIS,Bar Iris,Russian Hill,96.7%,b8d43fea-d2bd-4267-b0ca-a6eb8dfa519a,9b9f9222-b9a9-433e-a85a-89cfa6b8d037,Nisei / Bar Iris,"250,000"
Il Buco Alimentari & Vineria NoHo,Il Buco Alimentari & Vineria,NoHo,100.0%,497c337c-7be8-41c8-bcad-54a00ed64201,d68883ce-351a-4253-8a6e-47f81c76c2cf,Il Buco Alimentari & Vineria,"250,000"
F&F Pizzeria Carroll Gardens,Pizzeria Alberico,Pearl Street - Boulder,48.9%,649b1b24-6582-4639-88be-5f0351ffabb8,69c8aaf5-9553-43c5-be69-e6dcc12ecf10,Frasca,"250,000"
Parcelle Chinatown,Parcelle,Chinatown,100.0%,2511acb4-1b18-4cdb-89d7-d9a82fddd055,e8b3b1d6-929c-4ee6-8457-9740a8290d9c,Parcelle,"250,000"
Raku East Village Regulars,Criollas West Village,West Village,69.6%,ff22710d-c7ce-4fea-8aca-5301f23b20f9,c0a7f98b-d21e-49b6-b627-1c26939729ef,Criollas Baked Empanadas,"500,000"
Eterea,Center Bar,Columbus Circle,72.5%,1951a8cd-d0a7-4b90-9931-e1ea85a73789,f774ff15-9e88-4e16-a22b-cabdb4199168,Porter House / Center Bar,"250,000"
Claro Gowanus,Claro,Gowanus,95.6%,2c4210bb-e581-470f-b285-1b925dd79a0c,1a1c7b74-4565-42b0-9321-7d02fec62f56,Claro,"250,000"
Kwei Fei Riverland Terrace,Kwei Fei,Riverland Terrace,87.1%,9c38c8a7-2b2a-412a-bc81-957161060439,8b292448-3d3e-4133-9448-c3857bd27da2,Always Awkward Hospitality,"250,000"
KYU Noho,KYU NYC,Noho,76.7%,74edbb68-94af-4d4c-a4ef-42557590813c,817cb83e-5ad8-4bb3-867f-87e6ace2e1a8,KYU,"250,000"
Empellón Taqueria & Bar Greenwich Village,Empellón Taqueria & Bar,Greenwich Village,100.0%,d09d72da-e46e-4917-82ff-eaa3df1d75bf,e26a097a-c63b-40e0-a29d-19b0d36b0c0e,Empellon,"250,000"
Empellon Taqueria Waterline Square,Empellón Taqueria & Bar,Greenwich Village,79.1%,d09d72da-e46e-4917-82ff-eaa3df1d75bf,e26a097a-c63b-40e0-a29d-19b0d36b0c0e,Empellon,"250,000"
Avant Garden Bistro,Okaeri Japanese Bistro,Okaeri,63.7%,2724470d-8d98-420b-ac57-d4bc95715e15,646b44f0-6286-46aa-a56c-54e9834f7e12,Okaeri Japanese Bistro,"250,000"
Claudette,Laut,Laut,71.5%,2d59daaf-9b5e-4485-b775-3e73565428d4,3eff8a74-e098-446d-95d6-7dcd3b016a34,Fungi Hospitality,"1,000,000"
Beautiful South Cannonborough,Beautiful South,Cannonborough,100.0%,8cc49104-a5e7-4686-bc46-b190a1f61cf0,8b292448-3d3e-4133-9448-c3857bd27da2,Always Awkward Hospitality,"250,000"
GupShup Gramercy,Krupa Grocery,South Slope,65.2%,2ae1b8ba-07e3-4b95-867b-9abc5cb37ef8,82b5c34e-771f-4457-aed0-0888ce6fe911,Krupa Grocery,"250,000"
Virginia's East Village,Virginia's,East Village,100.0%,b9c373d0-698a-423b-8b0c-2944eab5bdb5,010a9119-7241-4a29-af85-6c69246336d5,Virginia's,"250,000"
Llama Inn Williamsburg,Veselka Williamsburg,Williamsburg,81.4%,5a02aa66-fc07-4b42-b412-c13515a47316,a5197cd6-00a1-408a-9e6e-a2669e1c6417,Veselka,"250,000"
Llama San Llama San,Ma'am Saab,Downtown Charleston,65.2%,f360f42c-1102-4781-b547-e119e26ea543,4200ac00-aaa0-40bb-bc1b-48d8de85ad9a,Ma'am Saab / Malika Canteen,"250,000"
Little Prince South Village,Little Prince,South Village,100.0%,b235b265-d944-49b0-96d9-101ba4f75e1f,0d46938c-5d07-46e6-aa9c-487bc163ea2b,Prince Street Hospitality,"250,000"
Lola Taverna South Village,Lola Taverna,South Village,100.0%,807f80d5-b3aa-4a64-99fa-5261c9590b20,0d46938c-5d07-46e6-aa9c-487bc163ea2b,Prince Street Hospitality,"250,000"
Ramen By Ra Bowery,Jane the Bakery,Geary - Jane the Bakery,65.2%,5b70acf9-3ae6-4c63-bf91-f77bd39ef65a,90c8df23-203f-4040-a896-68555f5f2fac,Jane,"250,000"
Farm to People Kitchen & Bar Bushwick,Farm to People Kitchen & Bar,Bushwick,100.0%,b7f6543b-00d8-43d9-a1b6-cc5f96e72c82,4e4a85d6-f677-4aea-bf4b-3c6571e4cce7,Farm to People,"250,000"
Panzón Greenpoint,Panzón,Greenpoint,92.2%,05c5ef58-e4a0-4ce5-98d5-0ed7356ca3d7,fec5730b-01c7-4ac6-891e-64d524c8d3bb,Panzón,"250,000"
