deal_name,restaurant_name,location_name,match_confidence,restaurant_id,restaurant_group_id,restaurant_group_name,fly_allocation
Anton's West Village,Nowon - East Village,East Village,88.9%,187b348e-cbac-415f-8a3e-22505b38305e,8c8ffae7-7b2e-4679-95f1-7393e05db05b,Nowon,"250,000"
Crown Shy Financial District,Crown Shy,Financial District,88.6%,3d45ee2c-1709-400c-8604-cf6f0cc55302,7c435f30-a2ba-4393-83ee-86aff33a72e1,Saga Hospitality Group,"250,000"
Nami Nori West Village,Nowon - East Village,East Village,80.0%,187b348e-cbac-415f-8a3e-22505b38305e,8c8ffae7-7b2e-4679-95f1-7393e05db05b,Nowon,"250,000"
Madame Vo East Village,Nowon - East Village,East Village,90.0%,187b348e-cbac-415f-8a3e-22505b38305e,8c8ffae7-7b2e-4679-95f1-7393e05db05b,Nowon,0
Hoseki Midtown,Hoseki,Midtown,90.0%,e31a4b1a-c388-4c99-b249-2d4cbf96a582,f353c94a-c4fb-4eb9-bb53-edc46de8a985,Hoseki,0
Melfi's Downtown Charleston,Melfi's,Downtown Charleston,81.2%,f649ca79-f27c-450f-a287-41b0af2b0a30,03e8295a-6cb4-483b-9c53-ffa2b8ec1ec8,Rerun Restaurants,"250,000"
Andros Taverna North Side,Andros Taverna,Logan Square,91.8%,7d952882-e0a2-4be7-ba63-a1cc418d03f1,b8d1188d-8e54-4544-9fae-252d6369e027,Eat Well Hospitality,"250,000"
Kwei Fei Riverland Terrace,Kwei Fei,Riverland Terrace,87.1%,9c38c8a7-2b2a-412a-bc81-957161060439,8b292448-3d3e-4133-9448-c3857bd27da2,Always Awkward Hospitality,"250,000"
Llama Inn Williamsburg,Veselka Williamsburg,Williamsburg,81.4%,5a02aa66-fc07-4b42-b412-c13515a47316,a5197cd6-00a1-408a-9e6e-a2669e1c6417,Veselka,"250,000"
Insa Gowanus,Insa,Gowanus,90.0%,7bfa14c8-038b-432e-b879-94b9f1c74286,8d8b6814-d688-462e-942e-0e568dc448e5,Insa,"250,000"
The Daily Buckhead,The Daily,Cannonborough,82.6%,b29fb7c4-a28f-47c3-bdda-cb9438bfc417,01ca53a2-d031-4289-b6c7-f13243eb75e3,The Daily,"250,000"
Mishik Hudson Square,Mishik,Hudson Square,81.2%,acd4cafb-7794-4094-8c58-04531443208c,85f68972-fb9a-4c6e-b79f-f4f0b112ad69,Mishik,"1,000,000"
Unregular Bakery Union Square,Unregular Bakery,Union Square,91.1%,a0074e2e-c12d-43c4-b07f-f7eba58fa86e,0bae5bc6-3581-4784-8ddc-9d83f59777fe,Unregular Bakery,"1,000,000"
Steak Frites Bistro Hell's Kitchen,Steak Frites Bistro,Hell's Kitchen,91.7%,6cc3d952-c50f-4e9c-8691-6e9db761f6b1,95daf746-7174-4e83-8eff-b8eaa9a94bf9,Steak Frites,"1,000,000"
Alidoro Bryant Park,Alidoro,Bryant Park,88.8%,d3906dd6-27ba-44aa-a8f8-b71941b64fb9,fa5c6b2d-8dce-420f-8ad2-e61f3dd44e59,Alidoro,"500,000"
Soda Club,Hudson Club,Midtown,80.0%,deea7def-04d6-4c6d-b764-f310395d7619,01415935-9b26-4591-92e3-27c67b539b8a,Hudson Club,"250,000"
Renzo Hampton Park Terrace,Nº. 79 Bar & Terrace,Nº. 79 Bar & Terrace,80.5%,7911e70b-5214-4ad2-ac4b-e6c0e56fa91a,2d137033-a0d3-4b67-a145-661dc58fc55d,No. 79,"500,000"
Piccolo Angolo West Village,Criollas West Village,West Village,90.8%,ff22710d-c7ce-4fea-8aca-5301f23b20f9,c0a7f98b-d21e-49b6-b627-1c26939729ef,Criollas Baked Empanadas,"500,000"
Burgerhead Greenwich Village,Burgerhead,Greenwich Village,87.6%,98fe30fa-14bd-48ab-a30f-17f853329004,ea058449-28e2-48e4-a1a2-2c0f64c5af76,Burgerhead,"500,000"
Unregular Pizza Upper East Side,Unregular Pizza,Lower East Side,90.2%,8679d471-40a0-46b8-b41b-7d18c249226b,8cf91e48-faf9-4df5-9552-f46a0bd0d1cd,Unregular Pizza,"500,000"
Jaffa Williamsburg,Veselka Williamsburg,Williamsburg,83.7%,5a02aa66-fc07-4b42-b412-c13515a47316,a5197cd6-00a1-408a-9e6e-a2669e1c6417,Veselka,"500,000"
K'Far Williamsburg,Veselka Williamsburg,Williamsburg,88.9%,5a02aa66-fc07-4b42-b412-c13515a47316,a5197cd6-00a1-408a-9e6e-a2669e1c6417,Veselka,"500,000"
Laser Wolf Williamsburg,Veselka Williamsburg,Williamsburg,84.4%,5a02aa66-fc07-4b42-b412-c13515a47316,a5197cd6-00a1-408a-9e6e-a2669e1c6417,Veselka,"500,000"
Greywind Hudson Yards,Greywind,Hudson Yards,90.2%,485f70c7-dfcd-4e4a-99ba-a860e370ca73,1c7eda20-2e5c-49e4-b91e-d2ca036cbfcb,Greywind,"1,000,000"
The Press Cannonborough,The Press,Cannonborough,81.7%,1412bfd7-4df9-4b9e-b8df-8368b936065a,04b17536-7766-446f-80bc-415e11cacd28,The Tippling House / The Press,"500,000"
Dhamaka Lower East Side,Dhamaka,Lower East Side,81.7%,f8b3e12b-d433-4131-99fe-0061a0e3943e,dd835bb3-b594-48c0-ab26-16811eb8b8f0,Unapologetic Indian,"500,000"
